,artist,album,track_name,track_id,danceability,energy,valence,tempo,duration_ms
218,Taylor Swift,reputation,King Of My Heart,7HuBDWi18s4aJM8UFnNheH,0.675,0.703,0.314,110.01,214320
219,Taylor Swift,reputation,Dancing With Our Hands Tied,7I7JbDv63ZJJsSi24DyJrz,0.624,0.691,0.284,160.024,211507
220,Taylor Swift,reputation,Dress,6oVxXO5oQ4pTpO8RSnkzvv,0.719,0.469,0.0851,120.085,230373
221,Taylor Swift,reputation,This Is Why We Can't Have Nice Things,07NxDD1iKCHbAldceD7QLP,0.567,0.789,0.438,163.96,207133
222,Taylor Swift,reputation,Call It What You Want,1GwMQaZz6Au3QLDbjbMdme,0.598,0.504,0.252,163.954,203507
223,Taylor Swift,reputation,New Year’s Day,7F5oktn5YOsR9eR5YsFtqb,0.661,0.151,0.23,94.922,235467
224,Taylor Swift,1989 (Deluxe Edition),Welcome To New York,33Kq0AT5rvwyE4azisG08x,0.789,0.634,0.658,116.992,212600
225,Taylor Swift,1989 (Deluxe Edition),All You Had To Do Was Stay,0lmMtDQ2ElasKU2qDAE6NN,0.605,0.725,0.539,96.97,193293
226,Taylor Swift,1989 (Deluxe Edition),I Wish You Would,1B5VzXPqMlvRw0U4HJY3dJ,0.653,0.893,0.513,118.035,207440
227,Taylor Swift,1989 (Deluxe Edition),Bad Blood,0yN4fNzmVnmgC0dsOoi9Wh,0.646,0.794,0.287,170.216,211933
228,Taylor Swift,1989 (Deluxe Edition),How You Get The Girl,6wfugRLamFsTRbPcCpNnP7,0.765,0.656,0.545,119.997,247533
229,Taylor Swift,1989 (Deluxe Edition),This Love,1kTPQnabROVkW9bUXdCGrB,0.481,0.435,0.107,143.95,250093
230,Taylor Swift,1989 (Deluxe Edition),I Know Places,2zfgVd034GlUvk7LqBHl6u,0.602,0.755,0.495,159.965,195707
231,Taylor Swift,1989 (Deluxe Edition),Clean,4bXCcoesMt8u99xMsbLr9U,0.815,0.377,0.211,103.97,271000
232,Taylor Swift,1989 (Deluxe Edition),Wonderland,6iWMI5oOhWrDbLbjmwTWFq,0.422,0.692,0.197,184.014,245560
233,Taylor Swift,1989 (Deluxe Edition),You Are In Love,4A2LfnduSTsE8u0ecYROxE,0.474,0.48,0.319,170.109,267107
234,Taylor Swift,1989 (Deluxe Edition),New Romantics,6rZVy6FIG7lSJQMFXHo12z,0.633,0.889,0.584,121.956,230467
235,Taylor Swift,Speak Now (Deluxe Edition),Dear John,1ubvV5ECkm6nSI6g1HmbBK,0.589,0.47,0.102,119.386,403920
236,Taylor Swift,Speak Now (Deluxe Edition),Never Grow Up,74WBGgUnpKrJXt6TETfR6Z,0.714,0.305,0.554,124.91,290467
237,Taylor Swift,Speak Now (Deluxe Edition),Enchanted,14LtANuaslKWyYbktUrHBU,0.455,0.623,0.208,163.893,352187
238,Taylor Swift,Speak Now (Deluxe Edition),Better Than Revenge,1By2VQkUN0Frd8mKNV5NYC,0.516,0.917,0.635,145.821,217160
239,Taylor Swift,Speak Now (Deluxe Edition),Innocent,3kfgJql90tzgoxByioAMXR,0.552,0.608,0.17,134.05,302253
240,Taylor Swift,Speak Now (Deluxe Edition),Haunted,11UaQaEp2LvdspTyyuE3ur,0.436,0.95,0.352,162.088,242080
241,Taylor Swift,Speak Now (Deluxe Edition),Last Kiss,1D27z8xNzjW0Mwwt1NCWhJ,0.371,0.341,0.196,89.038,367133
242,Taylor Swift,Speak Now (Deluxe Edition),Long Live,7DjCRhhFo9PPzca1BjMLcf,0.418,0.68,0.142,204.12,317453
243,Taylor Swift,Speak Now (Deluxe Edition),If This Was A Movie,0vvt4IZOMkRug195S4MUq0,0.511,0.719,0.289,147.852,234547
244,Taylor Swift,Speak Now (Deluxe Edition),Superman,2R7C9dDqv1UPycvepBFziA,0.582,0.765,0.559,131.982,275960
245,Taylor Swift,Speak Now (Deluxe Edition),Back To December - Acoustic,6IH2Z54gYPLqgJtxZjX80i,0.541,0.453,0.377,141.757,292560
246,Taylor Swift,Speak Now (Deluxe Edition),Haunted - Acoustic Version,62rlxI6g2PNaWsHoiRryto,0.563,0.443,0.313,80.962,217613
247,Taylor Swift,Speak Now (Deluxe Edition),Mine - POP Mix,0fAbfDiuQiUwV7FUcFfRGY,0.695,0.723,0.679,121.011,230333
248,Taylor Swift,Fearless Platinum Edition,Jump Then Fall,08gavXombT6KR0af88i9tA,0.618,0.687,0.82,79.991,237067
249,Taylor Swift,Fearless Platinum Edition,Untouchable,2IZ00ed83ygPIiacYScWUE,0.419,0.454,0.288,200.017,311040
250,Taylor Swift,Fearless Platinum Edition,Forever & Always - Piano Version,46HGgtwmmuEB8mvDCyjyAc,0.592,0.16,0.294,118.929,267507
251,Taylor Swift,Fearless Platinum Edition,Come In With The Rain,4pl5zcqCv4vc3cB7M4MZ6f,0.527,0.475,0.224,143.962,238107
252,Taylor Swift,Fearless Platinum Edition,SuperStar,14Bljc3pOOG0xQX3wqhLN9,0.61,0.531,0.228,85.979,261453
253,Taylor Swift,Fearless Platinum Edition,The Other Side Of The Door,0xvsgzM8AtBtRHZm5rav8A,0.476,0.816,0.469,163.847,237600
254,Taylor Swift,Fearless Platinum Edition,Hey Stephen,6wcFdMmiDscAhZJrcVFumx,0.843,0.553,0.825,115.997,254320
255,Taylor Swift,Fearless Platinum Edition,Breathe,6S9G7J3EB1ZY0rrZPwsBg5,0.498,0.486,0.17,147.952,263987
256,Taylor Swift,Fearless Platinum Edition,Tell Me Why,4XrP7vKBjKLEYlRZdb0Ygr,0.601,0.852,0.513,100.015,200560
257,Taylor Swift,Fearless Platinum Edition,You're Not Sorry,6HWYtS215rxaaMjvpyG18W,0.459,0.459,0.281,134.018,261800
258,Taylor Swift,Fearless Platinum Edition,The Way I Loved You,77VotUUL79U10TAnYdqwvr,0.436,0.712,0.379,160.886,244240
259,Taylor Swift,Fearless Platinum Edition,Forever & Always,1zxrcAk6eiytfavqriMcKT,0.605,0.829,0.514,128.012,225333
260,Taylor Swift,Fearless Platinum Edition,The Best Day,5YbZZ2gYfvW1UvHHF4pVaD,0.664,0.447,0.364,126.079,245347
261,Taylor Swift,Fearless Platinum Edition,Change,0RdcBnAXyH2YZZvcBVu2k6,0.548,0.756,0.224,96.038,281053
262,Taylor Swift,Taylor Swift,A Place in this World,73OX8GdpOeGzKC6OvGSbsv,0.576,0.777,0.428,115.028,199200
263,Taylor Swift,Taylor Swift,Cold As You,7an1exwMnfYRcdVQm0yDev,0.418,0.482,0.261,175.558,239013
264,Taylor Swift,Taylor Swift,The Outside,2QA3IixpRcKyOdG7XDzRgv,0.589,0.805,0.591,112.982,207107
265,Taylor Swift,Taylor Swift,Tied Together with a Smile,6K0CJLVXqbGMeJSmJ4ENKK,0.479,0.578,0.192,146.165,248107
266,Taylor Swift,Taylor Swift,Stay Beautiful,2ZoOmCSgj0ypVAmGd1ve4y,0.594,0.629,0.504,131.597,236053
267,Taylor Swift,Taylor Swift,Mary's Song (Oh My My My),2QrQCMel6v2JiLxqrg4p2O,0.403,0.627,0.374,74.9,213080
268,Taylor Swift,Taylor Swift,I'm Only Me When I'm With You,0JIdBrXGSJXS72zjF9ss9u,0.563,0.934,0.518,143.964,213053
269,Taylor Swift,Taylor Swift,Invisible,5OOd01o2YS1QFwdpVLds3r,0.612,0.394,0.233,96.001,203227
270,Taylor Swift,Taylor Swift,A Perfectly Good Heart,1spLfUJxtyVyiKKTegQ2r4,0.483,0.751,0.268,156.092,220147
271,Taylor Swift,Taylor Swift,Teardrops on My Guitar - Pop Version,4pJi1rVt9GNegU9kywjg4z,0.459,0.753,0.483,199.997,179067
272,Taylor Swift,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,7zMcNqs55Mxer82bvZFkpg,0.621,0.417,0.289,99.953,203040
273,Taylor Swift,Ronan,Ronan,0Nw8hv79MLJa1yjtsEgz08,0.565,0.255,0.174,57.964,265307
274,Taylor Swift,Spotify Singles,Delicate - Recorded at The Tracking Room Nashville,1Fj0T1XKuhRu7EZzJ7NJIK,0.664,0.447,0.431,90.976,228461
275,Taylor Swift,Spotify Singles,September - Recorded at The Tracking Room Nashville,5eGX87IiKsGuzS3iw4CfCX,0.641,0.444,0.588,107.081,187824
276,Taylor Swift,Sweeter Than Fiction,"Sweeter Than Fiction - From ""One Chance"" Soundtrack",0RFCHlNuTeUHIB36VuVbOL,0.71,0.614,0.673,135.012,237640
277,Various Artists,The Hunger Games: Songs From District 12 And Beyond,Eyes Open,7wjbSn8QHsxqKXU5M0jXGM,0.598,0.724,0.297,137.115,244587
278,Taylor Swift,Speak Now World Tour Live,Back To December/Apologize/You're Not Sorry - Live/2011/Medley,1IsquhJFJ0qcFZI7FeAEuN,0.374,0.516,0.171,142.057,362827
279,Taylor Swift,Speak Now World Tour Live,Bette Davis Eyes - Live/2011,6KF9xd2hBLuexrmBX4vUWD,0.327,0.488,0.363,104.46,189147
280,Taylor Swift,Speak Now World Tour Live,I Want You Back - Live/2011,4KB3zBArZ1rHRExilzycaV,0.536,0.512,0.249,97.397,83253
281,Taylor Swift,Speak Now World Tour Live,Ours - Live/2011,68QyrSzpnoU04AAhE5z8lj,0.421,0.355,0.267,77.769,245973
282,Taylor Swift,Speak Now World Tour Live,Last Kiss - Live/2011,6hH37tyeRdyan1mAppmVor,0.427,0.395,0.188,79.517,369067
283,Taylor Swift,Speak Now World Tour Live,Haunted - Live/2011,6znB7YZhMJT2B83zfbiyLq,0.338,0.818,0.177,162.157,292427
284,Taylor Swift,Speak Now World Tour Live,Long Live - Live/2011,5QkzyLUb4ggojNDp8G2OxX,0.544,0.728,0.204,101.939,376467
285,Taylor Swift,Speak Now World Tour Live,Sparks Fly - Live/2011,1aBJNc2thaKyh5THWzIqHX,0.455,0.783,0.298,114.981,336827
286,Taylor Swift,Speak Now World Tour Live,Mine - Live/2011,7yndkPYP6YQQLBpPsizDfh,0.496,0.852,0.442,120.969,259280
287,Taylor Swift,Speak Now World Tour Live,The Story Of Us - Live,72GIZuUXo14oyrS0si3Rgc,0.419,0.908,0.472,139.813,290520
288,Taylor Swift,Speak Now World Tour Live,Dear John - Live/2011,4DbI1rr4IQ2bc8nejy9ttd,0.521,0.386,0.138,119.518,404680
289,Taylor Swift,Speak Now World Tour Live,Mean - Live/2011,7mFiEij8AXPUZB7aKLbUlQ,0.429,0.915,0.432,163.752,246373
290,Taylor Swift,Speak Now World Tour Live,Better Than Revenge - Live/2011,6505MLhnqTDDg4tjoUz2Wp,0.445,0.887,0.386,145.954,344573
291,Taylor Swift,Speak Now World Tour Live,Enchanted - Live/2011,3lm4L3pPL32PFy74dR17OR,0.34,0.663,0.214,163.678,389213
292,Taylor Swift,Speak Now World Tour Live,Speak Now - Live/2011,3QFB14MOUf3imlyISNmrbT,0.615,0.694,0.373,118.876,248147
293,Taylor Swift,Speak Now World Tour Live,Drops Of Jupiter - Live/2011,0BSmbCIY36iw04azzJ3S0S,0.374,0.504,0.27,109.025,315173
294,Taylor Swift,Delicate (Seeb Remix),Delicate - Seeb Remix,2Sy2oGjP5RYB4cLVoDU0Gz,0.68,0.821,0.571,105.986,173266
295,Taylor Swift,...Ready For It? (BloodPop® Remix),...Ready For It? - BloodPop® Remix,1Ygm9KdH3wbzDekO8JgxcW,0.582,0.835,0.496,160.09,189509
296,Taylor Swift,Delicate (Sawyr And Ryan Tedder Mix),Delicate - Sawyr And Ryan Tedder Mix,6SYwJcqaltK2WFRmD1unUV,0.692,0.552,0.247,102.001,184282
297,Sugarland,Bigger,Babe,7fRruZ12gXGwBs0zXQ6e5V,0.535,0.777,0.664,171.72,215107
